,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
137,77.800003,78.040001,75.620003,75.669998,5463200,74.422684,153.71000,5/1/19,TGT,-0.022604073,-0.022603979,-0.166204194,E
138,76.080002,77,75.739998,76.419998,4456300,75.160324,153.42000,5/2/19,TGT,0.009911494,0.009911458,-0.266636917,E
139,75.970001,77,75.32,75.940002,5774300,74.68824,152.94000,5/3/19,TGT,-0.006281027,-0.006281026,-0.219879457,E
140,75,76.150002,74.75,75.980003,4008600,74.727585,152.13001,5/6/19,TGT,0.00052679,0.000526745,-0.356213507,E
141,75.449997,75.82,74.470001,75.040001,4437200,73.803078,150.86000,5/7/19,TGT,-0.012371696,-0.012371703,-0.90351752,D
142,75.120003,75.779999,74.300003,75.410004,3997700,74.166977,151.19000,5/8/19,TGT,0.004930675,0.004930744,-1.127411555,D
143,74.949997,75.559998,74.230003,75.110001,4549300,73.871925,150.67000,5/9/19,TGT,-0.003978213,-0.003978292,-1.182944429,D
144,74.660004,75.089996,73.330002,74.639999,5200300,73.409668,149.73000,5/10/19,TGT,-0.006257546,-0.006257516,-1.074700009,D
145,73.290001,73.529999,71.370003,71.68,6055200,70.498459,145.21000,5/13/19,TGT,-0.039657024,-0.039657007,-0.222272524,E
146,70.970001,71.769997,70.029999,71.260002,8063100,70.716789,143.03000,5/14/19,TGT,0.003096947,-0.005859347,0.2304536,D
147,70.940002,71.220001,70.260002,70.809998,5578900,70.27021,142.03000,5/15/19,TGT,-0.006315035,-0.006314959,0.322562832,D
148,71.489998,71.940002,70.610001,70.779999,4476200,70.24044,142.72000,5/16/19,TGT,-0.00042365,-0.000423655,1.866380118,D
149,70.139999,71.589996,70.089996,70.889999,3891200,70.349602,142.48000,5/17/19,TGT,0.001554119,0.001554111,2.288311866,D
150,71.419998,72.32,71.099998,72.080002,5750100,71.530533,144.40000,5/20/19,TGT,0.016786605,0.016786613,2.480591258,D
151,71.260002,72.949997,70.709999,71.959999,7705900,71.411446,144.91000,5/21/19,TGT,-0.001664842,-0.001664858,2.251699149,D
152,77.010002,79.190002,76.800003,77.559998,20777800,76.968758,156.75000,5/22/19,TGT,0.077821026,0.077820999,0.521381917,D
153,77.809998,79.589996,76.82,79.400002,11619600,78.794731,158.99000,5/23/19,TGT,0.023723561,0.023723621,0.246408892,D
154,79.599998,81.660004,79.580002,81.57,7851700,80.948189,163.23000,5/24/19,TGT,0.027329975,0.027329949,-0.27804057,E
155,81.779999,82.25,80.690002,80.769997,6522700,80.154289,163.02000,5/28/19,TGT,-0.009807508,-0.009807564,0.539336977,D
156,80.029999,80.190002,79.129997,79.639999,5772200,79.032906,159.83000,5/29/19,TGT,-0.013990306,-0.013990319,1.517298464,D
157,80.010002,80.790001,79.900002,80.389999,3996900,79.777184,161.18000,5/30/19,TGT,0.009417318,0.009417378,1.228530613,D
158,79.790001,80.589996,79.410004,80.449997,4137000,79.836723,161.03999,5/31/19,TGT,0.000746316,0.000746337,1.248691885,D
159,80.599998,83.760002,80.559998,82.949997,7071800,82.317665,166.71000,6/3/19,TGT,0.031075198,0.031075203,0.913691573,D
160,83.349998,85.959999,83.25,85.849998,7952700,85.195564,171.81000,6/4/19,TGT,0.034960892,0.034960833,0.394030462,D
161,86.379997,87.410004,85.129997,85.489998,6744500,84.838303,172.90000,6/5/19,TGT,-0.004193423,-0.004193361,0.544481366,D
162,85.480003,86.040001,84.699997,85.699997,4558400,85.046707,171.74000,6/6/19,TGT,0.002456485,0.002456416,0.586874444,D
